loss,accuracy,val_loss,val_accuracy,lr,timestamp,label,epoch,data,lr_start,lr_end,optimizer,loss_name,batch_size,epoch_subset,name,auc,val_auc,index
2.121665954589844,0.3900435864925384,1.4948745965957642,0.5567010641098022,0.001,2022-09-20 03:36:31,cuisine,1,kaggle_whats_cooking,0.001,0.001,adam,sparse_categorical_crossentropy,512,0.5,model_lstm,,,
1.230170488357544,0.6243155598640442,1.0676637887954712,0.6731204986572266,0.0010000000474974,2022-09-20 03:36:31,cuisine,2,kaggle_whats_cooking,0.001,0.001,adam,sparse_categorical_crossentropy,512,0.5,model_lstm,,,
0.9807484745979308,0.7025366425514221,0.9707121253013612,0.70958012342453,0.0010000000474974,2022-09-20 03:36:31,cuisine,3,kaggle_whats_cooking,0.001,0.001,adam,sparse_categorical_crossentropy,512,0.5,model_lstm,,,
0.8547706604003906,0.7385741472244263,0.8860554695129395,0.7339704036712646,0.0010000000474974,2022-09-20 03:36:31,cuisine,4,kaggle_whats_cooking,0.001,0.001,adam,sparse_categorical_crossentropy,512,0.5,model_lstm,,,
0.7684414982795715,0.7657839059829712,0.86800217628479,0.741010844707489,0.0010000000474974,2022-09-20 03:36:31,cuisine,5,kaggle_whats_cooking,0.001,0.001,adam,sparse_categorical_crossentropy,512,0.5,model_lstm,,,
0.7262581586837769,0.7818750739097595,0.8128240704536438,0.7596178650856018,0.0010000000474974,2022-09-20 03:36:31,cuisine,6,kaggle_whats_cooking,0.001,0.001,adam,sparse_categorical_crossentropy,512,0.5,model_lstm,,,
0.6768361330032349,0.7942786812782288,0.817592442035675,0.7576062679290771,0.0010000000474974,2022-09-20 03:36:31,cuisine,7,kaggle_whats_cooking,0.001,0.001,adam,sparse_categorical_crossentropy,512,0.5,model_lstm,,,
0.6535847783088684,0.8010392189025879,0.7881194353103638,0.762886643409729,0.0010000000474974,2022-09-20 03:36:31,cuisine,8,kaggle_whats_cooking,0.001,0.001,adam,sparse_categorical_crossentropy,512,0.5,model_lstm,,,
0.6237525343894958,0.8109286427497864,0.8031336069107056,0.7641438841819763,0.0010000000474974,2022-09-20 03:36:31,cuisine,9,kaggle_whats_cooking,0.001,0.001,adam,sparse_categorical_crossentropy,512,0.5,model_lstm,,,
0.5983263254165649,0.8161247372627258,0.7917731404304504,0.7716872692108154,0.0010000000474974,2022-09-20 03:36:31,cuisine,10,kaggle_whats_cooking,0.001,0.001,adam,sparse_categorical_crossentropy,512,0.5,model_lstm,,,
0.583528459072113,0.8214884400367737,0.7851667404174805,0.7573548555374146,0.0010000000474974,2022-09-20 03:36:31,cuisine,11,kaggle_whats_cooking,0.001,0.001,adam,sparse_categorical_crossentropy,512,0.5,model_lstm,,,
0.5527193546295166,0.8291988372802734,0.7928814888000488,0.7716872692108154,0.0010000000474974,2022-09-20 03:36:31,cuisine,12,kaggle_whats_cooking,0.001,0.001,adam,sparse_categorical_crossentropy,512,0.5,model_lstm,,,
