epoch,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy
0,2.9702210426330566,0.12161365151405334,2.931804895401001,0.18448320031166077,2.951859951019287,0.1542348563671112,2.8786697387695312,0.20748041570186615,2.909856081008911,0.1707139015197754,2.807206153869629,0.20924943685531616,2.896303415298462,0.16942253708839417,2.744987726211548,0.20798584818840027,2.6601157188415527,0.2212178260087967,2.4141945838928223,0.33535507321357727,2.5591022968292236,0.2454451024532318,2.074181079864502,0.41015923023223877,2.4799041748046875,0.2931136190891266,1.946781039237976,0.45413193106651306,2.36639404296875,0.30830127000808716,1.7164894342422485,0.501642644405365,1.5420798063278198,0.5413379669189453,1.0347791910171509,0.6775335073471069,1.5021635293960571,0.5485247373580933,1.0410109758377075,0.6770280599594116,1.3558576107025146,0.596726655960083,0.9088875651359558,0.7232752442359924,1.3584569692611694,0.5905505418777466,0.9607613682746887,0.7045741677284241
1,2.87794828414917,0.1921338587999344,2.8156936168670654,0.20697498321533203,2.7695858478546143,0.19659751653671265,2.670926332473755,0.2077331393957138,2.7316815853118896,0.20030319690704346,2.6709182262420654,0.2120293229818344,2.6826844215393066,0.19755201041698456,2.63887095451355,0.20874400436878204,2.0628294944763184,0.4336206018924713,1.7642920017242432,0.5001263618469238,1.7249975204467773,0.4887004792690277,1.5335897207260132,0.535759449005127,1.6412020921707153,0.5294067859649658,1.4461183547973633,0.5721506476402283,1.4741133451461792,0.5591925978660583,1.3124566078186035,0.6067728400230408,0.9065845608711243,0.7215406894683838,0.8909788727760315,0.7263078093528748,0.9204676151275635,0.7138485908508301,0.9387929439544678,0.7111448049545288,0.7479873895645142,0.772830605506897,0.8346815705299377,0.7498104572296143,0.7851799130439758,0.7584009170532227,0.922907292842865,0.7278240919113159
2,2.756504535675049,0.1970466822385788,2.6977055072784424,0.20823857188224792,2.6470491886138916,0.19659751653671265,2.6180880069732666,0.20798584818840027,2.6474759578704834,0.20459841191768646,2.6184418201446533,0.2183472365140915,2.6212158203125,0.1997978687286377,2.5909996032714844,0.21127116680145264,1.6175917387008667,0.5297998189926147,1.506296157836914,0.5529441833496094,1.4376230239868164,0.5656494498252869,1.3686643838882446,0.5860500335693359,1.311722993850708,0.6085736155509949,1.243533968925476,0.6287591457366943,1.1838674545288086,0.639482319355011,1.1443699598312378,0.6487237811088562,0.7523492574691772,0.7699390649795532,0.8531506061553955,0.7450088858604431,0.7686477899551392,0.7606748938560486,0.9238889217376709,0.7215061783790588,0.5510261058807373,0.8348445892333984,0.8724049925804138,0.7480414509773254,0.570077121257782,0.8267595171928406,1.0151623487472534,0.7210007905960083
3,2.667809247970581,0.19693438708782196,2.635589122772217,0.2084912806749344,2.6107547283172607,0.19729934632778168,2.5878307819366455,0.20823857188224792,2.6001577377319336,0.21560315787792206,2.5711705684661865,0.2337629497051239,2.566896438598633,0.2102411538362503,2.5279436111450195,0.2282031923532486,1.4172147512435913,0.5789843201637268,1.3602887392044067,0.593126118183136,1.277637243270874,0.614300549030304,1.2419482469558716,0.6272428631782532,1.1388380527496338,0.6557929515838623,1.126813530921936,0.6585797667503357,1.037508487701416,0.6804132461547852,1.0648443698883057,0.673490047454834,0.6580432653427124,0.7988545894622803,0.8488985896110535,0.7493050694465637,0.6619747281074524,0.7944190502166748,0.9467438459396362,0.7250442504882812,0.39312854409217834,0.8856573104858398,0.9616972208023071,0.7407127022743225,0.37907204031944275,0.8868083357810974,1.175882339477539,0.7184736132621765
4,2.6255550384521484,0.19906796514987946,2.604884147644043,0.21253475546836853,2.580190420150757,0.20024704933166504,2.555654764175415,0.21127116680145264,2.5456197261810303,0.2533056437969208,2.508165121078491,0.2795046865940094,2.4855897426605225,0.26144689321517944,2.4238522052764893,0.30629265308380127,1.2874407768249512,0.6116335988044739,1.2594130039215088,0.6196613907814026,1.1543697118759155,0.6520030498504639,1.1493301391601562,0.6540308594703674,1.0260215997695923,0.689172089099884,1.0511963367462158,0.6780389547348022,0.9479990005493164,0.7074478268623352,1.0187238454818726,0.6876421570777893,0.584320604801178,0.8209202289581299,0.8632564544677734,0.7482941746711731,0.5721099972724915,0.8249066472053528,0.9937700629234314,0.727571427822113,0.2636354863643646,0.9286376237869263,1.0939927101135254,0.7306039929389954,0.22621220350265503,0.9356840252876282,1.438126802444458,0.7111448049545288
5,2.5985991954803467,0.20600207149982452,2.579343795776367,0.22239071130752563,2.544199228286743,0.21091490983963013,2.514993190765381,0.23047763109207153,2.4704387187957764,0.31231576204299927,2.4220328330993652,0.33788225054740906,2.3500757217407227,0.33704838156700134,2.260810375213623,0.37629517912864685,1.1934148073196411,0.637769877910614,1.1865538358688354,0.6406368613243103,1.0678508281707764,0.6765391230583191,1.0923080444335938,0.6681829690933228,0.9446827173233032,0.7142696976661682,0.998009443283081,0.6884003281593323,0.8815429210662842,0.7299907207489014,0.9881144165992737,0.6987617015838623,0.5217837691307068,0.8429297208786011,0.8905656933784485,0.746019721031189,0.4915030896663666,0.8523343205451965,1.0566316843032837,0.7227697968482971,0.1696084886789322,0.9590129256248474,1.2584000825881958,0.723780632019043,0.1338563710451126,0.962157130241394,1.6974024772644043,0.7126611471176147
6,2.5722908973693848,0.22054405510425568,2.5520007610321045,0.24033358693122864,2.496558427810669,0.2484489530324936,2.459803819656372,0.2812736928462982,2.37286639213562,0.35756996273994446,2.315995216369629,0.38109681010246277,2.174260139465332,0.39639538526535034,2.0865519046783447,0.4154662787914276,1.1218785047531128,0.6582072377204895,1.1321494579315186,0.6557998657226562,1.0083706378936768,0.6921479105949402,1.0552740097045898,0.683093249797821,0.8813063502311707,0.7351843118667603,0.9582726955413818,0.7065958976745605,0.8262710571289062,0.7474523186683655,0.9668281674385071,0.70937579870224,0.46737611293792725,0.8613739013671875,0.9265625476837158,0.7467778921127319,0.4164730906486511,0.8785547614097595,1.1461379528045654,0.7169573307037354,,,,,,,,
7,2.5429134368896484,0.24676455557346344,2.5207040309906006,0.2719231843948364,2.4316813945770264,0.3013952374458313,2.3846099376678467,0.3242355287075043,2.26045298576355,0.39268970489501953,2.2017111778259277,0.41091737151145935,2.015191078186035,0.4287077784538269,1.950729489326477,0.4427596628665924,1.0653793811798096,0.6741529107093811,1.0900828838348389,0.6651504039764404,0.963842511177063,0.704359769821167,1.029659390449524,0.6889057755470276,0.8289742469787598,0.751663327217102,0.9274718165397644,0.7159464359283447,0.7774466276168823,0.7627803683280945,0.9518925547599792,0.7182208895683289,0.4191880226135254,0.8758878111839294,0.9701288342475891,0.7447561621665955,0.3445865213871002,0.9024732708930969,1.266413688659668,0.7121556997299194,,,,,,,,
8,2.508681058883667,0.279048889875412,2.4838063716888428,0.301743745803833,2.344975471496582,0.3442912995815277,2.28676700592041,0.3679555356502533,2.145392417907715,0.4174503684043884,2.0923147201538086,0.4278493821620941,1.8951070308685303,0.45947614312171936,1.8491870164871216,0.47333839535713196,1.0191712379455566,0.6869823932647705,1.0563408136367798,0.6760172247886658,0.9282481670379639,0.714606523513794,1.0106834173202515,0.6937073469161987,0.7840410470962524,0.7663737535476685,0.9031011462211609,0.7232752442359924,0.7330124378204346,0.7779680490493774,0.9418556094169617,0.7222643494606018,,,,,0.2768230140209198,0.9243423938751221,1.4242066144943237,0.7078595161437988,,,,,,,,
9,2.468116521835327,0.307290643453598,2.440500259399414,0.3229719400405884,2.237774133682251,0.37898993492126465,2.1747899055480957,0.3927217721939087,2.04082989692688,0.43957215547561646,1.9966224431991577,0.4452868402004242,1.8033506870269775,0.4850228726863861,1.770883560180664,0.4892595410346985,0.9801833033561707,0.6992785334587097,1.0285512208938599,0.6808187961578369,0.8983572125434875,0.7238988280296326,0.9960675239562988,0.6980035305023193,0.7443913221359253,0.7797086238861084,0.8837202787399292,0.7311094403266907,0.6917979121208191,0.791892409324646,0.936059832572937,0.7247915267944336,,,,,,,,,,,,,,,,
